entry_id,document_no,entry_date,account_id,vendor_id,debit_amount,credit_amount,description
1,1,1/5/2026,1010,,500000,0,Capital introduced by owner
2,1,1/5/2026,3000,,0,500000,Capital introduced by owner
3,2,1/10/2026,1050,V002,80000,0,Office equipment purchased on credit
4,2,1/10/2026,2000,V002,0,80000,Office equipment purchased on credit
5,3,1/15/2026,5000,,25000,0,Rent paid for January
6,3,1/15/2026,1010,,0,25000,Rent paid for January
7,4,1/20/2026,1010,,60000,0,Service revenue received
8,4,1/20/2026,4010,,0,60000,Service revenue received
9,5,1/25/2026,5030,V007,5000,0,Office supplies purchased on credit
10,5,1/25/2026,2000,V007,0,5000,Office supplies purchased on credit
11,6,1/28/2026,2000,V002,80000,0,Payment made to vendor for equipment
12,6,1/28/2026,1010,V002,0,80000,Payment made to vendor for equipment
13,7,2/3/2026,5010,,150000,0,Salaries paid for January
14,7,2/3/2026,1010,,0,150000,Salaries paid for January
15,8,2/8/2026,1030,V001,120000,0,Inventory purchased on credit
16,8,2/8/2026,2000,V001,0,120000,Inventory purchased on credit
17,9,2/12/2026,1000,,45000,0,Cash sale of goods
18,9,2/12/2026,4000,,0,45000,Cash sale of goods
19,10,2/15/2026,5020,,8000,0,Electricity bill paid
20,10,2/15/2026,1010,,0,8000,Electricity bill paid
21,11,2/18/2026,5040,V008,12000,0,Travel expense booked
22,11,2/18/2026,2000,V008,0,12000,Travel expense booked
23,12,2/22/2026,2000,V001,60000,0,Partial payment to vendor
24,12,2/22/2026,1010,V001,0,60000,Partial payment to vendor
25,13,2/25/2026,5050,V005,30000,0,Consulting fees booked
26,13,2/25/2026,2000,V005,0,30000,Consulting fees booked
27,14,3/2/2026,2010,,3000,0,TDS remitted to government
28,14,3/2/2026,1010,,0,3000,TDS remitted to government
29,15,3/5/2026,1020,,90000,0,Credit sale to customer
30,15,3/5/2026,4000,,0,90000,Credit sale to customer
31,16,3/10/2026,1010,,90000,0,Collection from customer
32,16,3/10/2026,1020,,0,90000,Collection from customer
33,17,3/14/2026,1050,V006,45000,0,Furniture purchased on credit
34,17,3/14/2026,2000,V006,0,45000,Furniture purchased on credit
35,18,3/18/2026,2000,V008,12000,0,Payment made to vendor for travel
36,18,3/18/2026,1010,V008,0,12000,Payment made to vendor for travel
37,19,3/22/2026,2020,,15000,0,GST liability paid
38,19,3/22/2026,1010,,0,15000,GST liability paid
39,20,3/26/2026,5000,,25000,0,Rent paid for March
40,20,3/26/2026,1010,,0,25000,Rent paid for March
41,21,4/2/2026,1040,,20000,0,Insurance premium prepaid
42,21,4/2/2026,1010,,0,20000,Insurance premium prepaid
43,22,4/6/2026,5050,V009,18000,0,IT consulting fees booked
44,22,4/6/2026,2000,V009,0,18000,IT consulting fees booked
45,23,4/10/2026,5010,,150000,0,Salaries paid for March
46,23,4/10/2026,1010,,0,150000,Salaries paid for March
47,24,4/14/2026,1010,,75000,0,Service revenue received
48,24,4/14/2026,4010,,0,75000,Service revenue received
49,25,4/18/2026,2000,V009,18000,0,Payment made to vendor for IT services
50,25,4/18/2026,1010,V009,0,18000,Payment made to vendor for IT services
51,26,4/22/2026,5030,V010,6000,0,Printing materials purchased on credit
52,26,4/22/2026,2000,V010,0,6000,Printing materials purchased on credit
53,27,4/26/2026,5030,V004,4000,0,Stationery purchased on credit
54,27,4/26/2026,2000,V004,0,4000,Stationery purchased on credit
55,28,4/28/2026,2000,V010,6000,0,Payment made to vendor for printing
56,28,4/28/2026,1010,V010,0,6000,Payment made to vendor for printing
57,29,5/2/2026,5000,,25000,0,Rent paid for April
58,29,5/2/2026,1010,,0,25000,Rent paid for April
59,30,5/6/2026,1000,,32000,0,Cash sale of goods
60,30,5/6/2026,4000,,0,32000,Cash sale of goods
61,31,5/10/2026,5060,V003,9000,0,Freight charges booked
62,31,5/10/2026,2000,V003,0,9000,Freight charges booked
63,32,5/14/2026,2000,V003,9000,0,Payment made to vendor for freight
64,32,5/14/2026,1010,V003,0,9000,Payment made to vendor for freight
65,33,5/18/2026,5010,,150000,0,Salaries paid for April
66,33,5/18/2026,1010,,0,150000,Salaries paid for April
67,34,5/22/2026,1020,,55000,0,Credit sale to customer
68,34,5/22/2026,4000,,0,55000,Credit sale to customer
69,35,5/26/2026,1010,,55000,0,Collection from customer
70,35,5/26/2026,1020,,0,55000,Collection from customer
71,36,6/2/2026,5000,,25000,0,Rent paid for May
72,36,6/2/2026,1010,,0,25000,Rent paid for May
73,37,6/6/2026,1030,V001,95000,0,Inventory purchased on credit
74,37,6/6/2026,2000,V001,0,95000,Inventory purchased on credit
75,38,6/10/2026,2000,V001,50000,0,Partial payment to vendor
76,38,6/10/2026,1010,V001,0,50000,Partial payment to vendor
77,39,6/14/2026,5020,,8500,0,Electricity bill paid
78,39,6/14/2026,1010,,0,8500,Electricity bill paid
79,40,6/18/2026,1010,,68000,0,Service revenue received
80,40,6/18/2026,4010,,0,68000,Service revenue received
